Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
323;323;;Dennis Rohan;Jumbo-Visma;192;28th May 1990;Australia;72;1.68;192;50;2793;6340;178;1792
324;324;;Ťoupalík Adam;Elkov - Kasper;191;9th May 1996;;;1.69;191;245;190;227;142;387
325;325;;Stewart Mark;Bolton Equities Black Spoke;191;25th August 1995;Great Britain;70;1.75;191;135;199;14;38;184
326;326;;Safarzadeh Saeid;Tianyoude Hotel Cycling Team;190;21st September 1985;Iran;66;1.76;190;116;317;112;154;212
327;327;;Bouwman Koen;Jumbo-Visma;190;2nd December 1993;Netherlands;60;1.81;190;146;782;446;66;822
328;328;;Maestri Mirco;EOLO-Kometa;189;26th October 1991;Italy;73;1.89;189;176;292;129;299;240
329;329;;Dewulf Stan;AG2R Citroën Team;189;20th December 1997;Belgium;74;1.84;189;713;382;65;358;371
330;330;;Mühlberger Gregor;Movistar Team;188;4th April 1994;Austria;64;1.82;188;710;736;233;335;1043
331;331;;Batsaikhan Tegsh-bayar;Roojai Online Insurance;187;1st June 1998;;;;187;52;108;105;120;16
332;332;;Knox James;Soudal - Quick Step;186;4th November 1995;Great Britain;58;;186;131;1119;52;26;950
333;333;;Campenaerts Victor;Lotto Dstny;183;28th October 1991;Belgium;68;1.80;183;729;886;3140;330;686
334;335;+1;Busatto Francesco;Circus - ReUz - Technord;183;1st November 2002;Italy;62;1.78;183;202;19;2;10;193
335;336;+1;Barta Will;Movistar Team;182;4th January 1996;United States;61;1.78;182;59;309;603;16;243
336;334;-2;van Engelen Adne;Roojai Online Insurance;181;16th March 1993;Netherlands;51;1.85;183;8;471;49;112;280
337;337;;Consonni Simone;Cofidis;181;12th September 1994;Italy;60;1.76;181;1390;298;25;1192;993
338;338;;Gloag Thomas;Jumbo-Visma;180;13th September 2001;Great Britain;60;1.80;180;58;177;0;4;258
339;339;;Swift Connor;INEOS Grenadiers;178;30th October 1995;Great Britain;75;;178;634;553;294;182;368
340;340;;Vargas Walter;Team Medellín - EPM;177;16th April 1992;;;;177;45;56;719;5;25
341;341;;Bregnhøj Mathias;Leopard TOGT Pro Cycling;176;11th November 1995;Denmark;63;1.73;176;59;195;59;28;127
342;342;;Gallopin Tony;Lotto Dstny;175;24th May 1988;France;69;1.73;175;3129;2384;1086;1266;3870
343;343;;Sexton Tom;Bolton Equities Black Spoke;175;19th November 1998;New Zealand;71;1.72;175;171;26;159;20;16
344;344;;Canal Carlos;Euskaltel - Euskadi;174;28th June 2001;Spain;70;1.80;174;176;63;62;105;236
345;345;;Castrillo Pablo;Equipo Kern Pharma;174;2nd January 2001;Spain;74;1.65;174;11;139;5;0;86
346;346;;Boasson Hagen Edvald;TotalEnergies;173;17th May 1987;Norway;75;1.65;173;4386;3641;2927;5978;4134
347;347;;Geniets Kevin;Groupama - FDJ;173;9th January 1997;Luxembourg;73;1.81;173;440;306;214;62;340
348;348;;Laurance Axel;Alpecin-Deceuninck Development Team;173;13th April 2001;France;66;1.90;173;292;65;38;65;375
349;349;;Brambilla Gianluca;Q36.5 Pro Cycling Team;172;22nd August 1987;Italy;57;;172;1502;1677;148;476;3289
350;350;;Shaw James;EF Education - EasyPost;171;13th June 1996;Great Britain;63;;171;108;485;108;44;504
351;351;;Juaristi Txomin;Euskaltel - Euskadi;171;20th July 1995;SpainWe;.5;1.80;171;44;216;205;9;178
